Order ID,Customer ID,Order Date,Product,Category,Unit Price,Quantity,Total Sales,Region,Payment Method,Return Status
033b8330,CUST9270,2025-01-10,Tablet,Electronics,299.02,3,897.06,North,Debit Card,Not Returned
e34cc80c,CUST8878,2024-11-24,Jeans,Clothing,142.46,2,284.92,West,Net Banking,Not Returned
f381f579,CUST6051,2024-08-07,Vacuum Cleaner,Home & Kitchen,311.52,3,934.56,East,COD,Not Returned
39ccbbaa,CUST8522,2024-09-17,T-Shirt,Clothing,179.19,4,716.76,East,COD,Not Returned
1c77d1ce,CUST4842,2025-01-12,Remote Car,Toys,474.19,5,2370.95,South,Net Banking,Not Returned
3b3d69b6,CUST3386,2024-09-06,Vacuum Cleaner,Home & Kitchen,86.82,5,434.1,West,Net Banking,Not Returned
215467ce,CUST9841,2025-01-30,Tablet,Electronics,400.45,2,800.9,West,UPI,Not Returned
5443f1ad,CUST2137,2024-12-17,Novel,Books,26.38,2,52.76,West,Net Banking,Not Returned
5ff07a02,CUST6993,2025-05-21,Headphones,Electronics,169.51,3,508.53,East,Net Banking,Not Returned
4abe69e8,CUST2517,2025-04-19,Tablet,Electronics,461.45,4,1845.8,West,Debit Card,Not Returned
0cbe6a92,CUST4394,2024-12-13,Building Blocks,Toys,341.21,2,682.42,East,COD,Not Returned
aa28ba6e,CUST2120,2024-09-02,Novel,Books,440.03,4,1760.12,East,Debit Card,Not Returned
8717a008,CUST7303,2025-04-28,Dress,Clothing,392.5,2,785.0,South,Credit Card,Not Returned
2f4832ed,CUST5456,2024-10-08,Laptop,Electronics,19.34,1,19.34,West,Debit Card,Not Returned
ea640103,CUST2092,2025-06-08,Textbook,Books,474.45,3,1423.35,East,Credit Card,Not Returned
d9e25556,CUST3457,2024-11-14,Building Blocks,Toys,221.92,3,665.76,East,COD,Not Returned
bb535141,CUST3161,2024-07-28,Blender,Home & Kitchen,270.98,5,1354.9,South,COD,Returned
4421dc30,CUST1332,2025-01-03,Puzzle,Toys,22.29,3,66.87,South,COD,Not Returned
82fb2219,CUST3493,2025-01-01,Jacket,Clothing,276.56,2,553.12,West,Credit Card,Not Returned
8c460694,CUST7607,2024-08-01,Doll,Toys,51.91,5,259.55,West,Net Banking,Not Returned
e2a77258,CUST2778,2025-01-24,Blender,Home & Kitchen,211.12,1,211.12,West,UPI,Returned
89642fe8,CUST2305,2025-06-04,Tablet,Electronics,22.7,5,113.5,East,COD,Not Returned
331b1538,CUST6809,2024-11-07,Desk Lamp,Home & Kitchen,248.33,2,496.66,East,COD,Not Returned
44c7deb3,CUST8362,2024-10-03,Dress,Clothing,390.58,4,1562.32,East,Credit Card,Not Returned
562e0f8b,CUST5087,2024-10-31,Blender,Home & Kitchen,118.46,5,592.3,West,COD,Not Returned
